"Sample_ID","Customer_Name","Subject_Barcode","Synonym_clean","female","male","full_sib","CIP","DArT"
"24-PEP-02-P02E10S000077","24-PEP-02-P02_E10","CIP318115.007","CIP318115.007","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E11S000085","24-PEP-02-P02_E11","CIP318115.009","CIP318115.009","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E12S000093","24-PEP-02-P02_E12","CIP318115.010","CIP318115.010","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F01S000006","24-PEP-02-P02_F01","CIP318115.022","CIP318115.022","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F02S000014","24-PEP-02-P02_F02","CIP318115.024","CIP318115.024","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F03S000022","24-PEP-02-P02_F03","CIP318115.025","CIP318115.025","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F04S000030","24-PEP-02-P02_F04","CIP318115.028","CIP318115.028","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F05S000038","24-PEP-02-P02_F05","CIP318115.029","CIP318115.029","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F06S000046","24-PEP-02-P02_F06","CIP318115.035","CIP318115.035","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F07S000054","24-PEP-02-P02_F07","CIP318115.039","CIP318115.039","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F08S000062","24-PEP-02-P02_F08","CIP318115.046","CIP318115.046","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F09S000070","24-PEP-02-P02_F09","CIP318115.047","CIP318115.047","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F10S000078","24-PEP-02-P02_F10","CIP318115.051","CIP318115.051","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F11S000086","24-PEP-02-P02_F11","CIP318115.053","CIP318115.053","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F12S000094","24-PEP-02-P02_F12","CIP318115.064","CIP318115.064","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G01S000007","24-PEP-02-P02_G01","CIP318115.067","CIP318115.067","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G02S000015","24-PEP-02-P02_G02","CIP318115.068","CIP318115.068","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G03S000023","24-PEP-02-P02_G03","CIP318115.070","CIP318115.070","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G04S000031","24-PEP-02-P02_G04","CIP318115.076","CIP318115.076","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G05S000039","24-PEP-02-P02_G05","CIP318115.081","CIP318115.081","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G06S000047","24-PEP-02-P02_G06","CIP318115.088","CIP318115.088","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G07S000055","24-PEP-02-P02_G07","CIP318115.091","CIP318115.091","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G08S000063","24-PEP-02-P02_G08","CIP318115.092","CIP318115.092","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G09S000071","24-PEP-02-P02_G09","CIP318115.095","CIP318115.095","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G10S000079","24-PEP-02-P02_G10","CIP318115.096","CIP318115.096","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G11S000087","24-PEP-02-P02_G11","CIP318115.103","CIP318115.103","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G12S000095","24-PEP-02-P02_G12",NA,NA,NA,NA,NA,TRUE,FALSE
"24-PEP-02-P02H01S000008","24-PEP-02-P02_H01","CIP318115.109","CIP318115.109","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02H02S000016","24-PEP-02-P02_H02","CIP318116.004","CIP318116.004","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H03S000024","24-PEP-02-P02_H03","CIP318116.012","CIP318116.012","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H04S000032","24-PEP-02-P02_H04","CIP318116.024","CIP318116.024","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H05S000040","24-PEP-02-P02_H05","CIP318116.025","CIP318116.025","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H06S000048","24-PEP-02-P02_H06","CIP318116.026","CIP318116.026","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H07S000056","24-PEP-02-P02_H07","CIP318116.034","CIP318116.034","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H08S000064","24-PEP-02-P02_H08","CIP318116.039","CIP318116.039","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H09S000072","24-PEP-02-P02_H09","CIP318116.043","CIP318116.043","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H10S000080","24-PEP-02-P02_H10","CIP318116.045","CIP318116.045","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H11S000088","24-PEP-02-P02_H11","CIP318116.046","CIP318116.046","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P02H12S000096","24-PEP-02-P02_H12",NA,NA,NA,NA,NA,TRUE,FALSE
"24-PEP-02-P03A01S000001","24-PEP-02-P03_A01","CIP318116.047","CIP318116.047","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A02S000009","24-PEP-02-P03_A02","CIP318116.048","CIP318116.048","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A03S000017","24-PEP-02-P03_A03","CIP318116.049","CIP318116.049","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A04S000025","24-PEP-02-P03_A04","CIP318116.052","CIP318116.052","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A05S000033","24-PEP-02-P03_A05","CIP318116.058","CIP318116.058","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A06S000041","24-PEP-02-P03_A06","CIP318116.059","CIP318116.059","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A07S000049","24-PEP-02-P03_A07","CIP318116.062","CIP318116.062","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A08S000057","24-PEP-02-P03_A08","CIP318116.074","CIP318116.074","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A09S000065","24-PEP-02-P03_A09","CIP318116.076","CIP318116.076","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A10S000073","24-PEP-02-P03_A10","CIP318116.092","CIP318116.092","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A11S000081","24-PEP-02-P03_A11","CIP318116.097","CIP318116.097","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03A12S000089","24-PEP-02-P03_A12","CIP318116.101","CIP318116.101","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03B01S000002","24-PEP-02-P03_B01","CIP318116.106","CIP318116.106","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03B02S000010","24-PEP-02-P03_B02","CIP318116.110","CIP318116.110","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03B03S000018","24-PEP-02-P03_B03","CIP318116.114","CIP318116.114","CIP512010.1","CIP312918.058","CIP512010.1_x_CIP312918.058",TRUE,TRUE
"24-PEP-02-P03B04S000026","24-PEP-02-P03_B04","CIP318117.003","CIP318117.003","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03B05S000034","24-PEP-02-P03_B05","CIP318117.009","CIP318117.009","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03B06S000042","24-PEP-02-P03_B06","CIP318117.010","CIP318117.010","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03B07S000050","24-PEP-02-P03_B07","CIP318117.015","CIP318117.015","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03B08S000058","24-PEP-02-P03_B08","CIP318117.016","CIP318117.016","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03B09S000066","24-PEP-02-P03_B09","CIP318117.020","CIP318117.020","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03B10S000074","24-PEP-02-P03_B10","CIP318117.035","CIP318117.035","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03B11S000082","24-PEP-02-P03_B11","CIP318117.048","CIP318117.048","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03B12S000090","24-PEP-02-P03_B12","CIP318117.052","CIP318117.052","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C01S000003","24-PEP-02-P03_C01","CIP318117.063","CIP318117.063","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C02S000011","24-PEP-02-P03_C02","CIP318117.070","CIP318117.070","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C03S000019","24-PEP-02-P03_C03","CIP318117.074","CIP318117.074","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C04S000027","24-PEP-02-P03_C04","CIP318117.075","CIP318117.075","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C05S000035","24-PEP-02-P03_C05","CIP318117.080","CIP318117.080","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C06S000043","24-PEP-02-P03_C06","CIP318117.086","CIP318117.086","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C07S000051","24-PEP-02-P03_C07","CIP318117.087","CIP318117.087","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C08S000059","24-PEP-02-P03_C08","CIP318117.090","CIP318117.090","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C09S000067","24-PEP-02-P03_C09","CIP318117.094","CIP318117.094","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C10S000075","24-PEP-02-P03_C10","CIP318117.102","CIP318117.102","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C11S000083","24-PEP-02-P03_C11","CIP318117.109","CIP318117.109","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03C12S000091","24-PEP-02-P03_C12","CIP318117.110","CIP318117.110","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03D01S000004","24-PEP-02-P03_D01","CIP318117.111","CIP318117.111","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03D02S000012","24-PEP-02-P03_D02","CIP318117.112","CIP318117.112","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03D03S000020","24-PEP-02-P03_D03","CIP318117.118","CIP318117.118","CIP512010.20","CIP398208.33","CIP512010.20_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P03D04S000028","24-PEP-02-P03_D04","CIP318118.012","CIP318118.012","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03D05S000036","24-PEP-02-P03_D05","CIP318118.013","CIP318118.013","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03D06S000044","24-PEP-02-P03_D06","CIP318118.021","CIP318118.021","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03D07S000052","24-PEP-02-P03_D07","CIP318118.022","CIP318118.022","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03D08S000060","24-PEP-02-P03_D08","CIP318118.027","CIP318118.027","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03D09S000068","24-PEP-02-P03_D09","CIP318118.033","CIP318118.033","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03D10S000076","24-PEP-02-P03_D10","CIP318118.034","CIP318118.034","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03D11S000084","24-PEP-02-P03_D11","CIP318118.035","CIP318118.035","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03D12S000092","24-PEP-02-P03_D12","CIP318118.036","CIP318118.036","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E01S000005","24-PEP-02-P03_E01","CIP318118.038","CIP318118.038","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E02S000013","24-PEP-02-P03_E02","CIP318118.039","CIP318118.039","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E03S000021","24-PEP-02-P03_E03","CIP318118.041","CIP318118.041","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E04S000029","24-PEP-02-P03_E04","CIP318118.042","CIP318118.042","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E05S000037","24-PEP-02-P03_E05","CIP318118.043","CIP318118.043","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E06S000045","24-PEP-02-P03_E06","CIP318118.044","CIP318118.044","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E07S000053","24-PEP-02-P03_E07","CIP318118.049","CIP318118.049","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E08S000061","24-PEP-02-P03_E08","CIP318118.050","CIP318118.050","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E09S000069","24-PEP-02-P03_E09","CIP318118.052","CIP318118.052","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E10S000077","24-PEP-02-P03_E10","CIP318118.056","CIP318118.056","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E11S000085","24-PEP-02-P03_E11","CIP318118.060","CIP318118.060","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03E12S000093","24-PEP-02-P03_E12","CIP318118.062","CIP318118.062","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F01S000006","24-PEP-02-P03_F01","CIP318118.063","CIP318118.063","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F02S000014","24-PEP-02-P03_F02","CIP318118.064","CIP318118.064","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F03S000022","24-PEP-02-P03_F03","CIP318118.069","CIP318118.069","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F04S000030","24-PEP-02-P03_F04","CIP318118.070","CIP318118.070","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F05S000038","24-PEP-02-P03_F05","CIP318118.071","CIP318118.071","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F06S000046","24-PEP-02-P03_F06","CIP318118.073","CIP318118.073","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F07S000054","24-PEP-02-P03_F07","CIP318118.076","CIP318118.076","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F08S000062","24-PEP-02-P03_F08","CIP318118.080","CIP318118.080","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F09S000070","24-PEP-02-P03_F09","CIP318118.085","CIP318118.085","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F10S000078","24-PEP-02-P03_F10","CIP318118.086","CIP318118.086","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F11S000086","24-PEP-02-P03_F11","CIP318118.088","CIP318118.088","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03F12S000094","24-PEP-02-P03_F12","CIP318118.090","CIP318118.090","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03G01S000007","24-PEP-02-P03_G01","CIP318118.091","CIP318118.091","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03G02S000015","24-PEP-02-P03_G02","CIP318118.092","CIP318118.092","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03G03S000023","24-PEP-02-P03_G03","CIP318118.093","CIP318118.093","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03G04S000031","24-PEP-02-P03_G04","CIP318118.094","CIP318118.094","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03G05S000039","24-PEP-02-P03_G05","CIP318118.103","CIP318118.103","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03G06S000047","24-PEP-02-P03_G06","CIP318118.112","CIP318118.112","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03G07S000055","24-PEP-02-P03_G07","CIP318118.113","CIP318118.113","CIP512010.20","CIP398208.620","CIP512010.20_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P03G08S000063","24-PEP-02-P03_G08","CIP318119.005","CIP318119.005","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03G09S000071","24-PEP-02-P03_G09","CIP318119.006","CIP318119.006","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03G10S000079","24-PEP-02-P03_G10","CIP318119.008","CIP318119.008","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03G11S000087","24-PEP-02-P03_G11","CIP318119.019","CIP318119.019","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03G12S000095","24-PEP-02-P03_G12",NA,NA,NA,NA,NA,TRUE,FALSE
"24-PEP-02-P03H01S000008","24-PEP-02-P03_H01","CIP318119.022","CIP318119.022","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H02S000016","24-PEP-02-P03_H02","CIP318119.027","CIP318119.027","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H03S000024","24-PEP-02-P03_H03","CIP318119.028","CIP318119.028","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H04S000032","24-PEP-02-P03_H04","CIP318119.029","CIP318119.029","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H05S000040","24-PEP-02-P03_H05","CIP318119.032","CIP318119.032","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H06S000048","24-PEP-02-P03_H06","CIP318119.037","CIP318119.037","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H07S000056","24-PEP-02-P03_H07","CIP318119.039","CIP318119.039","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H08S000064","24-PEP-02-P03_H08","CIP318119.041","CIP318119.041","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H09S000072","24-PEP-02-P03_H09","CIP318119.043","CIP318119.043","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H10S000080","24-PEP-02-P03_H10","CIP318119.046","CIP318119.046","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H11S000088","24-PEP-02-P03_H11","CIP318119.049","CIP318119.049","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P03H12S000096","24-PEP-02-P03_H12",NA,NA,NA,NA,NA,TRUE,FALSE
"24-PEP-02-P04A01S000001","24-PEP-02-P04_A01","CIP318119.050","CIP318119.050","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A02S000009","24-PEP-02-P04_A02","CIP318119.052","CIP318119.052","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A03S000017","24-PEP-02-P04_A03","CIP318119.053","CIP318119.053","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A04S000025","24-PEP-02-P04_A04","CIP318119.058","CIP318119.058","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A05S000033","24-PEP-02-P04_A05","CIP318119.059","CIP318119.059","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A06S000041","24-PEP-02-P04_A06","CIP318119.061","CIP318119.061","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A07S000049","24-PEP-02-P04_A07","CIP318119.066","CIP318119.066","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A08S000057","24-PEP-02-P04_A08","CIP318119.072","CIP318119.072","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A09S000065","24-PEP-02-P04_A09","CIP318119.073","CIP318119.073","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A10S000073","24-PEP-02-P04_A10","CIP318119.074","CIP318119.074","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A11S000081","24-PEP-02-P04_A11","CIP318119.078","CIP318119.078","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04A12S000089","24-PEP-02-P04_A12","CIP318119.081","CIP318119.081","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04B01S000002","24-PEP-02-P04_B01","CIP318119.084","CIP318119.084","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04B02S000010","24-PEP-02-P04_B02","CIP318119.085","CIP318119.085","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04B03S000018","24-PEP-02-P04_B03","CIP318119.087","CIP318119.087","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04B04S000026","24-PEP-02-P04_B04","CIP318119.094","CIP318119.094","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04B05S000034","24-PEP-02-P04_B05","CIP318119.096","CIP318119.096","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04B06S000042","24-PEP-02-P04_B06","CIP318119.097","CIP318119.097","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P04B07S000050","24-PEP-02-P04_B07","CIP318119.098","CIP318119.098","CIP512010.20","CIP398208.219","CIP512010.20_x_CIP398208.219",TRUE,TRUE
